title,artist
texas hold 'em,beyoncé
lose control,teddy swims
beautiful things,benson boone
texas hold 'em,beyoncé
dont let me go,mgk
lovin on me,jack harlow
flowers,miley cyrus
don't let the old man in,toby keith
selfish,justin timberlake
i remember everything (feat. kacey musgraves),zach bryan
turn the lights back on,billy joel
beautiful messes,hillary scott & the scott family
where the wild things are,luke combs
made for me,muni long
fast car,luke combs
save me,jelly roll
16 carriages,beyoncé
houdini,dua lipa
lil boo thang,paul russell
live like you were dying,tim mcgraw
powerful women,pitbull & dolly parton
need a favor,jelly roll
fast car,tracy chapman
spin you around (1/24),morgan wallen
save me (with lainey wilson),jelly roll
spicy margarita,jason derulo & michael bublé
cruel summer,taylor swift
training season,dua lipa
yeah! (feat. lil jon & ludacris),usher
good day,forrest frank
white horse,chris stapleton
three little birds,bob marley & the wailers
let's go,key glock
wildflowers and wild horses (single version),lainey wilson
thinkin’ bout me,morgan wallen
should've been a cowboy,toby keith
murder on the dancefloor (radio edit),sophie ellis-bextor
"what was i made for? (from the motion picture ""barbie"")",billie eilish
stick season,noah kahan
the door,teddy swims
pretty little poison,warren zeiders
truck bed,hardy
nothing's gonna stop us now,starship
standing next to you,jung kook
lead me home,jamey johnson
devil you know,tyler braden
standing next to you (usher remix),jung kook & usher
water,tyla
tennessee whiskey,chris stapleton
last night,morgan wallen
until i found you,stephen sanchez
the sound of silence (cyril remix),disturbed
dance the night,dua lipa
wondering why,the red clay strays
standing next to you (usher remix),jung kook & usher
23,chayce beckham
hard to love,lee brice
a country boy can survive,"hank williams, jr."
praise jah in the moonlight,yg marley
standing next to you (slow jam remix),jung kook
love story (taylor’s version),taylor swift
standing next to you (future funk remix),jung kook
standing next to you (holiday remix),jung kook
standing next to you (pbr&b remix),jung kook
standing next to you (latin trap remix),jung kook
to be a man (feat. darius rucker),dax
you are the reason,calum scott
"courtesy of the red, white and blue (the angry american)",toby keith
a symptom of being human,shinedown
country's cool again,lainey wilson
anti-hero,taylor swift
lovin on me,jack harlow
life with you,kelsey hart
you belong with me (taylor’s version),taylor swift
bulletproof,nate smith
as good as i once was,toby keith
dance you outta my head,cat janice
the painter,cody johnson
redrum,21 savage
"praise (feat. brandon lake, chris brown & chandler moore)",elevation worship
standing next to you (band version),jung kook
one love / people get ready,bob marley & the wailers
...ready for it?,taylor swift
watermelon moonshine,lainey wilson
in case you didn't know,brett young
what you won't do for love,bobby caldwell
"we takin' over (feat. akon, t.i., rick ross, fat joe, baby & lil' wayne)",dj khaled
paint the town red,doja cat
used to be young,miley cyrus
you need to calm down,taylor swift
lover,taylor swift
party in the u.s.a.,miley cyrus
hiss,megan thee stallion
wild ones (extended version),jessie murph & jelly roll
leave a light on,papa roach
can't get enough,jennifer lopez
unstoppable,sia
until i found you (em beihold version),stephen sanchez & em beihold
greedy,tate mcrae
don't stop praying,matthew west
